hour,pm25,pm10,location_name
0,54.49375990939977,115.05884311512415,NSI Kalyanpur
1,52.32110633727175,109.8984705882353,NSI Kalyanpur
2,50.28866382070438,101.67335812964932,NSI Kalyanpur
3,49.99933759318424,97.47045599151643,NSI Kalyanpur
4,48.93341039236479,95.30091341077085,NSI Kalyanpur
5,48.072263759086184,94.32705699481865,NSI Kalyanpur
6,48.520819251336896,96.1220895522388,NSI Kalyanpur
7,51.79899253731343,103.7253397027601,NSI Kalyanpur
8,51.53400968783638,104.75546945337621,NSI Kalyanpur
9,47.17621592148309,100.24935939196526,NSI Kalyanpur
10,41.91097714907508,94.3813542795233,NSI Kalyanpur
11,37.178452250274425,86.03980284775466,NSI Kalyanpur
12,34.26227421109902,82.67035752979416,NSI Kalyanpur
13,31.472376483279398,79.4025059076262,NSI Kalyanpur
14,29.55369323144105,77.84940217391303,NSI Kalyanpur
15,28.424232044198895,76.47518151815181,NSI Kalyanpur
16,28.358725555555555,75.97422566371681,NSI Kalyanpur
17,30.464763754045308,80.86267741935484,NSI Kalyanpur
18,36.150143009605124,92.30236170212766,NSI Kalyanpur
19,43.77042385516507,105.47572186836518,NSI Kalyanpur
20,49.34428901098901,113.94589813800657,NSI Kalyanpur
21,51.71103336921421,116.36948497854077,NSI Kalyanpur
22,53.45492299465241,117.86481876332623,NSI Kalyanpur
23,54.30515577342048,118.28097719869707,NSI Kalyanpur
0,53.670842824601365,120.25251396648045,Nehru Nagar
1,51.876507276507276,106.99303931987248,Nehru Nagar
2,47.90929313929314,97.00346274921301,Nehru Nagar
3,45.23858024691358,92.35031185031185,Nehru Nagar
4,44.545550935550935,91.287875,Nehru Nagar
5,46.226694214876034,94.25276907001044,Nehru Nagar
6,49.741255230125525,105.20412698412697,Nehru Nagar
7,52.07292531120332,114.66517894736842,Nehru Nagar
8,51.34863157894736,111.59442060085837,Nehru Nagar
9,47.87296680497926,105.94518398268399,Nehru Nagar
10,46.263062500000004,95.99651162790698,Nehru Nagar
11,42.17300420168067,87.40940919037199,Nehru Nagar
12,37.60749464668094,79.77893873085338,Nehru Nagar
13,34.900682302771855,74.17929978118163,Nehru Nagar
14,32.86680434782608,72.63558888888889,Nehru Nagar
15,31.625541125541126,71.3243956043956,Nehru Nagar
16,35.62194690265486,73.33266666666665,Nehru Nagar
17,37.248936170212765,82.57271241830065,Nehru Nagar
18,41.04090336134454,98.96850215517242,Nehru Nagar
19,49.56865979381443,121.53624733475479,Nehru Nagar
20,58.75524312896406,140.91480519480518,Nehru Nagar
21,63.12774327122153,144.7875534188034,Nehru Nagar
22,63.069545454545455,140.26673751328374,Nehru Nagar
23,60.530103305785126,133.66684378320934,Nehru Nagar
